Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Silodosin,160970-54-7,C(O)CCN1c2c(cc(C[C@H](NCCOc3c(cccc3)OCC(F)(F)F)C)cc2CC1)C(=O)N,,2.8,0.05,,3.6,"Silodosin - EMA Approval Package
Assessment Report EMEA/H/C/001209. Accessed through Pharmapendium.",2 mg dose administered as iv infusion 0.8 L/kg reported as VD after iv dose but likely to be VDz.,No conclusive data in EMA package,1994,495.53,7,3,97.1,13,cationic,3.0,2.3
Mibefradil,116644-53-2,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,3.1,4.0,0.005,13.0,13.0,"Welker HA (1998) Single- and multiple-dse mibefradil pharmacokinetics in normal and hypertensive subjects.  J. Pharm. Pharmacol. 50: 983-987.  Welker HA, Wiltshire H, and Bullingham R (1998) Clinical pharmacokinetics of mibefradil. Clin. Pharmacokinet. 35: 405-423.",,,1988,495.63,6,1,67.4,12,cationic,5.9,3.8
Flomoxef,99665-00-6,n1(nnnc1SCC1=C(N2[C@H](OC1)[C@@](C2=O)(OC)NC(=O)CSC(F)F)C(O)=O)CCO,0.19,4.1,0.64,0.77,0.6,"Saito, Haruo; Kimura, Tadashi; Takeda, Taizo; Kishimoto, Seiji; Oguma, Takayoshi; Shimamura, Kenji. Pharmacokinetics of flomoxef in mucosal tissue of the middle ear and mastoid following intravenous administration in humans. Chemotherapy (Basel, Switzerland), 1990, 36, 193-199.//ppb:Hamada, Toshihiro; Ueta, Eisaku; Kodama, Hiroyuki; Osaki, Tokio. The excretion of cephem antibiotics into saliva is inversely associated with their plasma protein-​binding activities. J. Oral Pathol. Med. 2002, 31, 109-116. ","VDss from Vc and k12/k21. Clearance from dose/AUC. MRT from Clearance and VDss. 1 g dose, N=6, 70 kg weight assumed.",,1984,496.47,13,3,169.0,11,anionic,-0.98,-4.0
Idarubicin,58957-92-9,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(=O)C,38.0,24.0,0.0759999999999999,26.0,16.0,"Robert J (1993) Clinical pharmacokinetics of idarubicin.  Clin. Pharmacokinet. 24: 275-288.  Kessel M, Gieseler F, and Woodcock BG (1999) Influence of serum protein on the uptake and retention of idarubicin by sensitive and multidrug resistant human leukemic cells.  Eur. J. Clin. Pharmacol. 55: 369-373.",Compendium of intravenous data with median values.,,1976,497.49,10,5,176.6,3,cationic,1.3,-1.5
Conivaptan,210101-16-9,Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2[nH]1,0.76,3.0,0.01,4.2,6.7,Vaprisol Product Label,VDss was calculated using C vs t data obtained by digitization of the plot provided in the product label.,,1998,498.57,6,2,78.1,4,cationic,5.5,5.0
Moexipril ,103775-10-6,C(c1ccccc1)C[C@H](N[C@H](C(N1Cc2c(C[C@H]1C(O)=O)cc(OC)c(c2)OC)=O)C)C(OCC)=O,,6.3,0.12,,1.3,Moexipril Hydrochloride - FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020312 Part 01. Package accessed through Pharmapendium. March 7 2013.//ppb: https://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/20-312_Moexipril_Univasc.pdf. Accessed June 27 2017.,"VD reported in PDR as about 183 liters, but not specified as VDss or VDz. Likely to be latter. 70 kg assumed as average weight. Accessed March 7 2013.//ppb: data from young subjects. Bining in elderly subjects ~ 48%.",excreted in feces and urine (mostly urine) as moexiprilat (diacid). See label of FDA review package.,1958,498.57,9,2,114.4,12,anionic,3.0,-0.37
Carebastine,90729-42-3,C1C(CCN(C1)CCCC(c1ccc(C(C(=O)O)(C)C)cc1)=O)OC(c1ccccc1)c1ccccc1,0.41,0.4,0.05,16.7,9.8,"J.M. JANSAT, C.F. LASTRA, E.L. MARINO Comparative study of different weighting methods in non-linear regression analysis: implications in the parametrization of carebastine after intravenous administration in healthy volunteers. Int. J. Clin. Pharmacol. Ther., Vol. 1998, 36, 340-344.//ppb: A del Cuvillo, J Mullol, J Bartra, I Dávila, I Jáuregui, J Montoro, J Sastre, AL Valero. Comparative pharmacology of the H1 antihistamines. J Investig Allergol Clin Immunol 2006, 16, Suppl. 1:3-12.","Data taken from Table 1. 77 kg median weight, 10 mg total dose. N=8. VDss from MRT and clearance.",,1985,499.64,5,1,66.8,11,zwitterionic,5.9,3.0
Rolapitant,552292-08-7,C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)c4ccccc4,,0.38,0.002,,148.5,"X Wang, ZY Zhang, D Powers, J Wang, S Lu and V Kansra. Rolapitant Absolute Bioavailability and PET Imaging Studies in Healthy Adult Volunteers. Clin. Phramacol. Ther. 2017. Accessed May 12 2017. doi:10.1002/cpt.637.//ppb: https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/206500s000lbl.pdf. Accessed May 12 2017.",SCH 619734. Varubi. 100 ug iv dose of 14C rolapitant together with 180 mg of drug po. N=4. No plot or data relevant for MRT or VDss.,,2003,500.48,4,2,50.4,5,cationic,5.1,3.8
Fluticasone propionate,80474-14-2,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF,3.6,17.0,0.1,3.9,6.0,"Brutsche MH, Brutsche IC, Munavvar M, Langley SJ, Masterson CM, Daley-Yates PT, Brown R, Custovic A., and Woodcock A (2000) Comparison of pharmacokinetics and systemic effects of inhaled fluticasone propionate in patients with asthma and healthy volunteers: a randomised crossover study.  Lancet  356: 556-561.  Mackie AE, Ventresca GP, Fuller RW, and Bye A (1996) Pharmacokinetics of intravenous fluticasone propionate in healthy subjects.  Br. J. Clin. Pharmacol. 41: 539-542.",,,1981,500.57,5,1,80.7,6,neutral,3.3,3.3
Fimasartan,247257-48-3,CCCCc1nc(c(c(=O)n1Cc2ccc(cc2)c3ccccc3c4[nH]nnn4)CC(=S)N(C)C)C,0.6,9.6,,1.1,5.5,"Jong-Lyul Ghim, Soo Heui Paik,  M. Hasanuzzaman, Yong Ha Chi, Hyang-Ki Choi,  Dong-Hyun Kim,  Jae-Gook Shin.  Absolute Bioavailability and Pharmacokinetics of the Angiotensin II Receptor Antagonist Fimasartan in Healthy Subjects. J. Clin. Pharmacol. 2016, 56, 576-580.","N=16, 30 mg dose, 1 h infusion. No average weight reported but data available on weight basis. ",,1999,501.65,8,1,92.6,10,cationic,4.1,0.71
AZD4877,1176760-49-8,Cc1ccc(cc1)C(=O)N(CCCN)C(c2nc3c(c(ns3)C)c(=O)n2Cc4ccccc4)C(C)C,6.74,5.83,,19.0,16.3,"A Phase I study to assess the safety, tolerability, and pharmacokinetics of AZD4877, an intravenous Eg5 inhibitor in patients with advanced solid tumors  Infante J R; Kurzrock R; Spratlin J; Burris H A; Eckhardt S G; Li J; Wu K; Skolnik J M; Hylander-Gans L; Osmukhina A; Huszar D; Herbst R S. Cancer chemotherapy and pharmacology 2012, 69 (1)165-72","Weighted average of data reported in table 4. Part A and B across all doses with data reported (range 5-45 mg). T/12 across 20 patients, MRT, Cl and VDss across 17 patients. Average data : clearance 24.5 L/h, VDss = 471.8 L, MRT 19.05 h and t1/2 16.3 hours. Average of 70 kg used for body weight.",,2004,503.66,7,1,94.1,9,cationic,3.6,1.1
Hypericin,548-04-9,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6C(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c56,0.25,0.13,,32.0,42.0,"Kerb R, Brockmuller J, Staffeldt B, Ploch M, and Roots I (1996) Single dose and steady-state pharmacokinetics of hypericin and pseudohypericin.  Antimic. Agents Chemother.  40: 2087-2093.",Data from two subjects with very high variability.,,1912,504.44,8,6,155.5,0,anionic,5.2,1.8
Dipyridamole,58-32-2,c12c(c(N3CCCCC3)nc(n2)N(CCO)CCO)nc(N(CCO)CCO)nc1N1CCCCC1,0.82,2.0,0.00899999999999999,6.8,13.0,"Bjornsson TD, Mahony C. Clinical pharmacokinetics of dipyridamole. Thromb Res Suppl. 1983, 4, 93-104.","Data from digitization of PK profile reported in Fig 2 in reference. Dose 20 mg 4min infusion, N=6, BW = 60 kg. Reported data in table 1 : CL (mL/min/kg) = 2.3  t1/2(h) = 11.6, Vz(L/kg) = 2.35. Vz from digitization = 2.3 L/kg",,1939,504.63,12,4,145.4,12,cationic,2.0,1.4
Ixabepilone,219989-84-1,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,11.0,10.0,0.2,18.0,17.0,"Abraham J, Agrawal M, Bakke S, Rutt A, Edgerly M, Balis FM, Widemann B, Davis L, Damle B, Sonnichsen D, Lebwohl D, Bates S, Kotz H, and Fojo T (2003)  Phase I trial and pharmacokinetic study of BMS-247550, an epothilone B analog, administered intravenously on daily schedule for five days.  J. Clin. Oncol. 21: 1866-1873.//ppb: Francis Y. F. Lee , Robert Borzilleri, 
Craig R. Fairchild, Amrita Kamath, Richard Smykla, Robert Kramer, Gregory Vite. Preclinical discovery of ixabepilone, a highly active antineoplastic agent. Cancer Chemother Pharmacol 2008,  63, 157–166.",,,1999,506.7,7,3,112.0,2,neutral,3.9,3.9
Ro 02-70608,1160849-72-8,O=C(C(C(Cl)=CC=C1)=C1C)N[C@H](C(O)=O)CC2=CC=C(NC(C(C(Cl)=CN=C3)=C3Cl)=O)C=C2,0.3,3.7,0.1,1.3,3.3,"Youssef Hijazi, , Horst Welker, Albert E. Dorr, Jian-Ping Tang,  Roger Blain Louis M. Renzetti, Richat Abbas. Pharmacokinetics, Safety, and Tolerability of R411, a Dual  4 alpha- 4 beta Integrin Antagonist After Oral Administration at Single andMultiple Once-Daily Ascending Doses in Healthy Volunteers. Youssef Hijazi et al. J Clin Pharmacol 2004;44:1368-1378. ","Active metabolite of R411 administered as such. Data digitized from plot reported. 100 mg over 1 hr infusion, 82.6 kg average weight, N=11. Reported AUC0-∞ 5821 h•μg/L CLt, 19.37 L/h (= 3.91 mL/min/kg) t1/2, 3.5 h ppb reported as > 90%",Only 26% excreted renally. Assigned as metabolic with percentage unknown. Hijazi et al.,2004,506.77,7,3,108.4,7,anionic,4.6,1.5
CP-4055,188181-42-2,CCCCCCCC\C=C\CCCCCCCC(=O)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N2C=CC(=NC2=O)N,0.14,4.53,,0.51,0.36,"Dueland, Svein; Aamdal, Steinar; Lind, Michael J.; Thomas, Hilary; Liland Sandvold, Marit; Gaullier, Jean-Michel;Rasch, Wenche. Intravenous administration of CP-4055 (ELACYT) in patients with solid tumours. A phase I study.  Acta Oncol. 2009, 48, 137-145.",ELACYT. Elacytarabine. N=24 across doses from 30 mg/m2 to 240 mg/m2 except 60 mg/m2 which was seemingly showing a much higher clearance and VDss than other infusions with a very high error. Only 30' data infusion taken. The 2 hr infusion at 240 mg/m2 for 2 hrs did not show a significant difference form the 30' infusion at the same dose. 1.73 m2/70kg factor used. MRT from VDss and clearance.,,1997,507.66,9,3,134.7,19,neutral,5.0,5.0
Patupilone,152044-54-7,[C@H]12C[C@H](OC(=O)C[C@@H](C(C(=O)[C@H]([C@H]([C@H](CCC[C@]1(O2)C)C)O)C)(C)C)O)C(=C\c1nc(sc1)C)\C,14.4,2.17,0.22,110.6,92.3,"Forster M et al. A phase Ib and pharmacokinetic trial of Patupilone combined with Carboplatin in patients with advanced cancer. Clin. Cancer Res. 2007, 13(14) ,4178-4184. ppb: slight variation between 10 and 100 ng/mL in ED. From abstract in English. Tan, Qiong; Hong, Jin-chuan; Xu, Zhi-ru; Xiao, Feng; Zhao, Sha-sha; Qin, Yan. Determination of the plasma protein binding rate of epothilone b by lc-​ms. Shijie Linchuang Yaowu (2012), 33(10), 599-603.","Low dose. Data from Table 3 using 1.73 m2/70 kg conversion: N=11, 70 kg average weight assumed, 4.40 mg/m2 dose (= 0.11 mg/kg). MRT calculated from VDss and CL. (other names: EPO906, Epothilone B)",,1993,507.68,7,2,109.3,2,neutral,3.8,3.8
Lefamulin,1061337-51-6,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CS[C@@H]4CC[C@@H](N)C[C@H]4O,1.32,3.96,0.17,5.53,6.4,"M. Zeitlinger, R. Schwameis, A. Burian, B. Burian, P. Matzneller, M. Muller, W. W. Wicha, D. B. Strickmann and W. Prince. Simultaneous assessment of the pharmacokinetics of a pleuromutilin, lefamulin, in plasma, soft tissues and pulmonary epithelial lining fluid. J Antimicrob Chemother 2016; 71: 1022–1026.","Data digitized from plot reported. N=12 healthy males, 150 mg as 1-h infusion, 77.6 kg, average weight. AUC0-12 reported as 5772 ng.h.mL-1. calculated 6667 ng.h.mL-1. 15% difference.",,2008,507.73,6,3,109.8,6,cationic,3.4,0.75
Argatroban,74863-84-6,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,0.17,5.0,0.46,0.57,0.4,"Hauptmann, J. Pharmacokinetics of an emerging new class of anticoagulant/antithrombotic drugs A review of small-molecule thrombin inhibitors. Eur J Clin Pharmacol  2002, 57,  751-758. ppb: The PDR states: Argatroban is 54% bound to human serum proteins, with binding to albumin and α1 – acid glycoprotein being 20% and 34%, respectively. Accessed January 7 2015. http://www.pdr3d.com/detail.php?c=135305#section-12.",,,1980,508.63,11,6,177.7,10,zwitterionic,1.5,-0.84
L-692429,145455-23-8,[H]N(C(CC(C)(C)N([H])[H])=O)[C@@H]1CCc2ccccc2N(Cc2ccc(cc2)c2ccccc2c2nnnn2[H])C1=O,0.2,3.05,0.06,1.1,3.8,"Gertz B J; Barrett J S; Eisenhandler R; Krupa D A; Wittreich J M; Seibold J R; Schneider S H Growth hormone response in man to L-​692,​429, a novel nonpeptide mimic of growth hormone-​releasing peptide-​6. J. Clin. Endocrin. Metab. 1993, 77, 1393-1397. ppb:  K H Leung, D A Cohn, R R Miller, G A Doss, R A Stearns, R E Simpson, W P Feeney and S H Chiu Pharmacokinetics and disposition of L-692,429. A novel nonpeptidyl growth hormone secretagogue in preclinical species. Drug Metabolism and Disposition1996, 24, 753-760.",MK 0751. Data from 1.0 mg/kg dose (others administered) N=6. 70 kg average weight assumed.,,1992,509.6,9,3,129.9,8,zwitterionic,4.1,1.8
Gallamine triethiodide,65-29-2,CC[N+](CC)(CC)CCOc1cccc(c1OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,0.27,1.51,,2.98,2.52,"M.I. Ramzan, E. J. Triggs, C. A. Clarks. Pharmacokinetics studies in man with gallamine triethiodide. Eur.  J. Clin. Pharmacol. 1980, 17, 145-152.",CAS number corresponding to gallamine triethiodide used.  Iodide atoms removed to keep only SMILES for trication neuromuscular blocker.  N=14 with data entered as average of single 4 and 6 mg iv bolus dose. MRT from VDss and clearance.,,1947,510.82,6,0,27.7,21,neutral,-7.7,-7.7
Cefmenoxime,65085-01-0,N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C,0.2,3.65,0.31,0.77,0.89,"Granneman, G. Rrichard; Sennello, Lawrence T.; Steinberg, Frank J.; Sonders, Robert C. Intramuscular and intravenous pharmacokinetics of cefmenoxime, a new broad-spectrum cephalosporin, in healthy subjects.Antimicrobial Agents and Chemotherapy (1982), 21(1), 141-5. ppb: MASAHIRO KONDO, YUMIKO NOJI and KANJI TSUCHIYA. Binding of cefmenoxime (SCE-1365) to human serum proteins. Chemother. (Tokyo) 1981, 29 (S-1) 200-205.","Average of 30 subjects in 6 cohorts, 3 intravenous infusion and 3 intravenous bolus injections. 500, 1000, 2000 mg doses in each dosing regimen.",,1977,511.56,14,3,190.8,8,anionic,-0.15,-3.2
Almorexant,871224-64-5,CNC(=O)C(N1CCC2=C(C=C(OC)C(OC)=C2)[C@@H]1CCC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,9.75,10.2,,15.9,34.3,"Absolute Oral Bioavailability of Almorexant, a Dual Orexin Receptor Antagonist, in Healthy Human Subjects. Matthias Hoch  Petra Hoever, Jochen Zisowsky, Anthony Priestley,
David Fleet, Jasper Dingemanse. Pharmacology 2012;89:53–57.","N=20, 20 mg dose, 70 kg assumed. 30' infusion. MRT from VDss and clearance.",,2005,512.56,5,1,50.8,8,neutral,5.5,5.5
Cefuzonam,82219-78-1,s1c(cnn1)SCC1=C(N2[C@H](SC1)[C@@H](NC(\C(c1csc(n1)N)=N/OC)=O)C2=O)C(=O)O,0.2,4.1,0.12,0.82,1.14,"M. TOMISAWA, I. NAKAYAMA, and A. SAITO.  Antimicrobial Activity and Pharmacokinetics of L-105, a New Cephem Antibiotic Agent. RECENT ADV. CHEMOTHER.1985, Antimicr. Sect. 2, 891-892.//ppb: Hamada T, Ueta E, Kodama H, Osaki T. The excretion of cephem antibiotics into saliva is inversely associated with their plasma protein-binding activities. J Oral Pathol Med. 2002, 31, 109-116","L-105. Cosmosin. 1 gm dose, N=21 70 kg average weight assumed. MRT from VDss and clearance. Structure refers to neutral compound.",~ 50% urinary excretion.,1982,513.59,12,3,173.0,8,anionic,0.51,-2.5
Maraviroc,376348-65-1,[H]N(C(C1CCC(CC1)(F)F)=O)[C@H](CCN1[C@H]2CC[C@@H]1CC(C2)n1c(C)nnc1C(C)C)c1ccccc1,2.3,9.4,0.25,4.2,12.8,"Abel S. et al. (2008) Assessment of the absorption, metabolism and absolute bioavailability of maraviroc in healthy males subjects. Br. J. Clin. Pharmacol. 65:Suppl.1 60-67//ppb from Walker et al. DMD 2005, 33, 587-595","N=8 in study 2 cohort 1 and N=8 in cohort 2. Overall average weight 80 kg, average of two cohhorts at 30 mg i.v.",,2001,513.67,6,1,63.0,8,cationic,4.5,3.1
LY2090314,603288-22-8,C1(C2C3C(N(C(C=3C(N=C(N3C=CC4)C=4)=C3)=O)[H])=O)[C@@H](N(C=2)C2)[C@@H](C=C(C=1)F)CN(C2)C(=O)N(CCCC1)C1,1.2,10.3,0.02,1.9,2.7,"Pharmacokinetics, metabolism, and excretion of the GSK-3 inhibitor LY2090314 in rats, dogs, and humans: A case study in rapid clearance by extensive metabolism with low circulating metabolite exposures. Maciej J. Zamek-Gliszczynski, Trent L. Abraham, Jeffrey J. Alberts, Palaniappan Kulanthaivel, Kimberley A. Jackson, Kay H. Chow, Denis J. McCann, Haitao Hu, Shelby Anderson, Nathan A. Furr, Robert J. Barbuch, and Kenneth C. Cassidy. Drug Metabolism & Disposition (2013), 41(4), 714-726",N=12 across dose range from 10 to 120 mg. 70 kg assumed as average weight. N=2 per dose group.,,2003,514.55,9,1,90.3,2,neutral,3.5,3.5
Cefpirome,84957-29-9,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3cccc4CCCc34)\c5csc(N)n5,0.24,1.9,0.9,2.1,1.7,"Nakayama I, Akieda Y, Yamaji E, Nitta Y, Ohishi M, Katagiri K, Imamura N, and Takase K (1992) Single- and multiple-dose pharmacokinetics of intravenous cefpirome (HR810) to healthy volunteers,  J. Clin. Pharmacol. 32: 256-266.  Tabata S, Shimura T, Maeda T, Hayashi S, Kobayashi I, and Saito A (1991) Protein binding of cefpirome sulfate in man and animals and its displacing effect on bilirubin bound to human serum albumin.    Chemotherapy  39(Suppl. 1):  109-114.",,,1982,514.58,11,2,153.9,7,anionic,0.7,-1.6
Telmisartan,144701-48-4,CCCc1nc2c(C)cc(cc2n1Cc3ccc(cc3)c4ccccc4C(=O)O)c5nc6ccccc6n5C,5.3,8.4,0.004,11.0,20.0,"Stangier J, Schmid J, Turck D, Switek H, Verhagen A, Peeters PAM, van Marle SP, Tamminga WJ, Sollie FAE, and Jonkman JHG (2000) Absorption, metabolism, and excretion of intravenously and orally administered [14C]telmisartan in healthy volunteers.  J. Clin. Pharmacol. 40: 1312-1322.",,,1992,514.62,6,1,72.9,7,anionic,7.7,4.7
Verlukast,120443-16-5,CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1,0.11,0.68,0.0004,2.7,2.3,"Depre M, Margolskee DJ, Hseih JYK, Van Hecken A, Buntinx A, De Lepeleire I, Rogers JD, and De Schepper PJ (1992) Plasma drug profiles and tolerability of MK-571 (L-660,711), a leukotriene D4 receptor antagonist, in man.  Eur. J. Clin. Pharmacol. 43: 427-430.  Cheng H, Schwartz JI, Lin C, Amin RD, Seibold JR, Lasseter KC, Ebel DL, Tocco DJ, and Rogers JD (1994) The bioavailability and nonlinear pharmacokinetics of MK-679 in humans. Biopharm. Drug Dispos. 15: 409-418.","Parameters were determined using C vs t data obtained by digitization of the plots in the reference by Depre, et al. L-660,711 represents the compound without defined stereochemistry (except for double bond) and with CAS # 115104-28-4  ",,1987,515.09,5,1,70.5,11,anionic,5.1,1.6
Fusidate sodium,751-94-0,C(=O)([O-])C(=C1\[C@@H](OC(=O)C)C[C@@]2([C@@]3(CC[C@H]4[C@@H]([C@@H](CC[C@@]4(C)[C@@H]3[C@H](O)C[C@@H]12)O)C)C)C)\CC\C=C(\C)C,0.23,0.35,0.02,10.6,9.8,"A. M. Taburet, J. Gufbert, M. D. Kitris, H. Sorensen, J. F. Acar and E. Singes. Pharmacokinetics of sodium fusidate after single and repeated infusions and oral administration of a new formulation. Journal of Antimicrobial Chemotherapy (1990) 25, Suppl. B, 23-31.//ppb: Markus A. Zeitlinger, Hartmut Derendorf, Johan W. Mouton, Otto Cars, William A. Craig, David Andes, and Ursula Theuretzbacher. Protein Binding: Do We Ever Learn? ANTIMICROB AGENTS CHEMOTHER., 2011, 55, 3067–3074.","N=8, 61.6 kg average weight, dose 500 mg 2 hr infusion. VDss calculated from MRT and clearance from first dose.",,1962,515.7,6,2,106.9,6,anionic,5.7,3.3
"1,3-DCQA",19870-46-3,O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c3ccc(O)c(O)c3)C(=O)O,0.79,8.7,,1.5,1.37,"Wen-Zheng Ju,Yang Zhao,Fang Liu,Ting Wua,Jun Zhang,Shi-Jia Liu,Lin gZhou,Guo-Liang Dai,Ning-Ning Xiong,Zhu-Yuan Fang. Clinical tolerability and pharmacokinetics of Erigerontis hydroxybenzene injection: Results of a randomized phase I study in healthy Chinese volunteers. Phytomed. 2015, 22, 319–325","1,3-dicaffeoylquinic acid. Data digitized from plot reported. All from average males/females. 6 vials EH product tested for content via HPLC. 1.26 mg total dose, N=6, 57 kg average weight. 1 hr infusion. All AUCinf data within 10% of reported.",,1964,516.45,12,7,211.3,9,anionic,2.1,-1.6
"3,4-DCQA",14534-61-3,C1[C@@](C[C@H]([C@H]([C@@H]1OC(\C=C\c1cc(c(cc1)O)O)=O)OC(\C=C\c1cc(c(cc1)O)O)=O)O)(C(=O)O)O,0.63,34.58,,0.3,0.57,"Wen-Zheng Ju,Yang Zhao,Fang Liu,Ting Wua,Jun Zhang,Shi-Jia Liu,Lin gZhou,Guo-Liang Dai,Ning-Ning Xiong,Zhu-Yuan Fang. Clinical tolerability and pharmacokinetics of Erigerontis hydroxybenzene injection: Results of a randomized phase I study in healthy Chinese volunteers. Phytomed. 2015, 22, 319–325","3,4-dicaffeoylquinic acid. Data digitized from plot reported.  All from average males/females. 6 vials EH product tested for content via HPLC.  20.4  mg total dose, N=6, 57 kg average weight. 1 hr infusion. All AUCinf data within 10% of reported.",,1961,516.45,12,7,211.3,9,anionic,2.6,-1.0
"3,5-DCQA",2450-53-5,O[C@@H]1[C@@H](C[C@](O)(C[C@H]1OC(=O)\C=C\c2ccc(O)c(O)c2)C(=O)O)OC(=O)\C=C\c3ccc(O)c(O)c3,4.82,75.81,,1.05,3.17,"Wen-Zheng Ju,Yang Zhao,Fang Liu,Ting Wua,Jun Zhang,Shi-Jia Liu,Lin gZhou,Guo-Liang Dai,Ning-Ning Xiong,Zhu-Yuan Fang. Clinical tolerability and pharmacokinetics of Erigerontis hydroxybenzene injection: Results of a randomized phase I study in healthy Chinese volunteers. Phytomed. 2015, 22, 319–325","3,5-dicaffeoylquinic acid. Data digitized from plot reported.  All from average males/females. 6 vials EH product tested for content via HPLC. 16.44 mg total dose, N=6, 57 kg average weight. 1 hr infusion. All AUCinf data within 10% of reported.",,1963,516.45,12,7,211.3,9,anionic,2.6,-1.1
Cefozopran,113359-04-9,[H]N([H])c1nc(C(C(N([H])[C@H]2C(N3C(=C(CN4C=CN5C4=CC=C[N-]5)CS[C@H]23)C(=O)O[H])=O)=O)=NOC)ns1,0.24,2.1,0.74,2.0,1.7,"Shiba, K; Hori, S; Yoshida, M; Shimada, J; Saito, A; Sakai, O.  Fundamental and clinical investigation of cefozopran. Chemotherapy (Tokyo) (1993), 41(Suppl. 4), 187-194. fu from Lombardo et al J. Clin. Pharmacol. 2013, 53(2), 167-177 and 178-191","Calculated via WinNonLin from reported plasma data. Fu 0.92 from Hamada T, Ueta E, Kodama H, Osaki T. The excretion of cephem antibiotics into saliva is inversely associated with their plasma protein-binding activities. J Oral Pathol Med. 2002, 31, 109-116.",,1986,516.53,14,3,180.7,9,anionic,-1.3,-4.8
Piperacillin,61477-96-1,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4ccccc4)C(=O)C1=O,0.27,4.0,0.5,1.1,0.96,"De Schepper PJ, Tjandramaga TB, Mullie A, Verbesselt R, van Hecken A, Verberckmoes R, and Verbist L (1982) Comparative pharmacokinetics of piperacillin in normals and in patients with renal failure.  J. Antimic. Chemother. 9(Suppl B) 49-57. Tjandramaga TB, Mullie A, Verbesselt R, De Schepper PJ, and Verbist L (1978) Piperacillin: human pharmacokinetics after intravenous and intramuscular administration.  Antimic. Agents Chemother. 14: 829-837.   Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",,,1977,517.55,12,3,156.4,6,anionic,0.84,-2.5
Lurtotecan,149882-10-0,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5cc6c(cc5c4CN7CCN(CC7)C)OCCO6)O,4.77,25.07,,3.5,3.54,"CJH Gerrits, GJ Creemers, JHM Schellens, P Wissel, AS Th Planting, R Kunka, K Selinger,
M de Boer-Dennert, Y Marijnen, M Harteveld, J Verweij. Phase I and pharmacological study of the new topoisomerase I inhibitor G1147211, using a daily x 5 intravenous administration. British Journal of Cancer (1996) 73, 744-750.","GG211 or GI147211. NX211. Quantitation of lactone form. Weight averaged value across several doses, from Table IV (Day 1). N=17 overall. 1.73m2/70 kg factor used.",,1993,518.56,10,1,106.4,3,cationic,1.0,-0.084
