ID;Canonical_Smiles;hlm_clearance[mL.min-1.g-1];rlm_clearance[mL.min-1.g-1];mlm_clearance[mL.min-1.g-1];caco2_PAPP[10^-7cm/s];Set_hlm;Set_rlm;Set_mlm;Set_caco
CHEMBL109244;Oc1ccc(CCNCCCCCCNC(=O)Nc2ccccc2)c3sc(O)nc13;11;;;;Ext;;;
CHEMBL2171043;Clc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4;6;;;;Train;;;
CHEMBL305513;Nc1nc2ccccc2[nH]1;3;;;;Train;;;
CHEMBL2207671;CS(=O)(=O)c1ccc2c(cnc(O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4;6;;;;Train;;;
CHEMBL345937;CC1SC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CCNCC4;13,8;;;;Train;;;
CHEMBL564737;OC(=O)c1ccccc1c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCCCC3;3;;;;Train;;;
CHEMBL1089518;CCCCOc1nc(N)c2nc(O)n(Cc3cccc(CC(=O)O)c3)c2n1;3;;;;Train;;;
CHEMBL2158816;OC(=O)C(N1CCCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C1)c4ccccc4;3;;;;Train;;;
CHEMBL521096;CCOc1cc2ncc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(C)CC4;26;;;;Ext;;;
CHEMBL282625;NC(=N)c1cc2c(\C=C\c3ccc4OCOc4c3)cccc2s1;7;;;;Train;;;
CHEMBL1531981;Cc1oc(cc1C(=O)Nc2cccc(c2)C(=O)O)c3ccccc3;4,17;;;;Train;;;
CHEMBL1078;CC(C)n1c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13;8,33;;;;Train;;;
CHEMBL403313;CN(C)S(=O)(=O)NC(=O)CCCc1c([nH]c2ccc(cc12)C#N)c3ccc(F)cc3;8,86;;;;Train;;;
CHEMBL192;CCCc1nn(C)c2c(O)nc(nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4;131,83;;;;Test;;;
CHEMBL1222381;O=C(NC1CC1)c2cc(on2)c3cccs3;38,9;;;;Train;;;
CHEMBL682;CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O;150;;;;Train;;;
CHEMBL1399574;CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1;3;;;;Train;;;
CHEMBL595134;O=C1N=C2C(=C1C#N)c3ccc(N4CCSCC4)c5cccc2c35;114,82;;;;Train;;;
CHEMBL1916275;CN(C1CCCCC1)C(=O)c2c(C)nn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4;53;;;;Train;;;
CHEMBL257025;C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3[nH]ncc13;14;;;;Train;;;
CHEMBL1770475;CSCCC(NC(=O)c1ccccc1)c2nc3ccccc3n2Cc4ccc(cc4)C#N;150;;;;Test;;;
CHEMBL275224;c1ccc2c(c1)[nH]c3cnccc23;89;;;;Ext;;;
CHEMBL551765;OC(=O)C1CCN(CC1)c2ncccc2c3ccc(Cl)c(c3)C(=O)NCC4CCCCCC4;24;;;;Train;;;
CHEMBL894;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1;12,02;;;;Train;;;
CHEMBL1831130;COc1ccc2nc(C)cc(N3CC(CNC(=O)C4CC4)OC3=O)c2c1;8,91;;;;Train;;;
CHEMBL1082376;CCCCCCc1nc2c(N)nc3ccccc3c2n1Cc4ccccc4;3;;;;Test;;;
CHEMBL1439884;CCCCn1c(SCC(=O)Nc2cc(C)on2)nnc1c3occc3;150;;;;Train;;;
CHEMBL244183;C1Oc2ccc(Oc3cc(Oc4ccc(cc4)n5ccnc5)ncn3)cc2O1;13;;;;Train;;;
CHEMBL1081917;Cc1cc(CN(CC(=O)Nc2ccc(Cl)cc2Cl)C3CCCCC3)ccc1OCC(=O)O;101;;;;Train;;;
CHEMBL1083637;CCc1nc2c(N)nc3ccccc3c2n1Cc4ccccc4;3;;;;Train;;;
CHEMBL1916086;Cc1ccc(cc1)S(=O)(=O)Nc2c(cnn2c3ccccc3)C(=O)NCc4ccccc4;150;;;;Train;;;
CHEMBL5;CCN1C=C(C(=O)O)C(=O)c2ccc(C)nc12;4;;;;Train;;;
CHEMBL518924;NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]3CCCc4cccnc34;46;;;;Ext;;;
CHEMBL211175;CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)c(F)c(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C;18;;;;Ext;;;
CHEMBL1770469;CSCCC(NC(=O)c1cnccn1)c2nc3ccccc3[nH]2;31;;;;Train;;;
CHEMBL1463345;C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CC[C@@]45CCC(=O)O5;14,45;;;;Train;;;
CHEMBL46740;Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc15;38,02;;;;Train;;;
CHEMBL360227;CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c3c1cc(cc3C(F)(F)F)C(=O)N;93,33;;;;Train;;;
CHEMBL1645107;Nc1nc2ccc(cc2s1)c3ccncc3;20,42;;;;Train;;;
CHEMBL183630;Cc1ccc(NC(=O)c2cccc(c2)N3CCOCC3)cc1NC(=O)c4ccc(OCc5cscn5)cc4;23;;;;Train;;;
CHEMBL2208431;O[C@H](CNC(=O)c1nnc(O)c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4;3;;;;Train;;;
CHEMBL93484;CC1N=C(N)N=C(N)N1c2ccc(Cl)cc2;3,31;;;;Train;;;
CHEMBL1807820;O[C@@H](CNCCCSCCOCCc1cccc2ccccc12)c3ccc(O)c4nc(O)sc34;70;;;;Ext;;;
CHEMBL1460615;OC1CS(=O)(=O)CC1N2CCC(CC2)c3ccccc3;5,25;;;;Ext;;;
CHEMBL406852;COc1nc(N)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O;42,66;;;;Train;;;
CHEMBL2171017;COc1ccc(cc1Cl)C(=O)NCCN2CCN(Cc3ccc(Cl)c(Cl)c3)CC2;50,5;;;;Train;;;
CHEMBL1204759;Cc1nn(c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1C#N)c3ccccc3;3;;;;Ext;;;
CHEMBL214350;Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)C(F)(F)F;5,6;;;;Train;;;
CHEMBL1534781;COc1cnc(nc1N(C)c2ccccc2)c3ccccn3;104;;;;Train;;;
CHEMBL1739708;COc1ccc(cc1)c2nc(N)s[n+]2c3ccccc3;19;;;;Train;;;
CHEMBL1945041;O[C@@H](CNCCc1cccc(CNCc2ccccc2Cl)c1)c3ccc(O)c4nc(O)sc34;47;;;;Train;;;
CHEMBL1916278;Cc1ccc(cc1)S(=O)(=O)Nc2c(C(=O)NC3CCOCC3)c(C)nn2c4ccccc4;6;;;;Train;;;
CHEMBL1289545;Cc1nc(cs1)C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2;11;;;;Train;;;
CHEMBL315708;c1ccc(cc1)c2[nH]nc3ccccc23;3;;;;Train;;;
CHEMBL205078;Fc1ccc(Nc2cc(ccn2)c3ccnc(NC(=O)C4CCOCC4)c3)cc1;6,03;;;;Train;;;
CHEMBL2171013;CN(C(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)S(=O)(=O)c4ccc(C)cc4;10;;;;Train;;;
CHEMBL1209914;CC(=O)N1N=C(CC1c2ccc(C)cc2)c3ccc(Br)cc3;41,69;;;;Train;;;
CHEMBL318021;CC(CCc1cccc(OCc2ccc3ccccc3n2)c1)CC(=O)O;6,17;;;;Train;;;
CHEMBL495727;O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3;8,32;;;;Train;;;
CHEMBL554;CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2;36,31;;;;Ext;;;
CHEMBL370657;Cn1c(nnc1C23CCC(CC2)(CC3)c4noc(n4)c5ccc(F)cc5)c6ccccc6C(F)(F)F;3;;;;Ext;;;
CHEMBL426658;Clc1cccc(c1)c2cnc3ccc(NC4CCOCC4)nn23;9,12;;;;Train;;;
CHEMBL336718;COc1ccc(cc1)c2nc(O)c3ccccc3n2;150;;;;Train;;;
CHEMBL2141746;CCCNC(=O)CSc1ccc(cn1)S(=O)(=O)N2CCCC2;12,59;;;;Train;;;
CHEMBL259850;COc1ccc(CNC(=O)Nc2ncc(s2)[N+](=O)[O-])cc1;56;;;;Train;;;
CHEMBL1091137;CC\C(=C(\c1ccc(O)cc1)/c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3;33,88;;;;Train;;;
CHEMBL1188966;CN(C)c1nc(NC[C@@H]2CC[C@@H](CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14;117,49;;;;Train;;;
CHEMBL1951032;COc1c(Nc2ccc(nc2C)S(=O)(=O)C)ncnc1OC3CCN(CC3)C(=O)OC(C)C;19,95;;;;Train;;;
CHEMBL833;Clc1ccccc1CN2CCc3sccc3C2;35;;;;Train;;;
CHEMBL2158831;OC(=O)c1ccccc1CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2;3;;;;Train;;;
CHEMBL2147569;C[C@]12Cc3cnn(c3C=C1CC[C@@]2(O)CCc4ccc(F)cc4C(=O)N)c5ccc(F)cc5;104,71;;;;Train;;;
CHEMBL1944690;O[C@@H](CNCCc1cccc(CNCCc2ccccc2Cl)c1)c3ccc(O)c4nc(O)sc34;19;;;;Train;;;
CHEMBL2346975;CC(=O)N1CCN(CCOc2ccc(cc2)C3(O)CCN(CC3)c4ccc5nnc(n5n4)C(F)(F)F)CC1;89,13;;;;Ext;;;
CHEMBL1345333;N(c1ccccc1)c2[nH]nnc2c3ccccc3;119;;;;Train;;;
CHEMBL551707;Clc1ccc2nc(ccc2c1C(=O)NCC34CC5CC(CC(C5)C3)C4)N6CCC[C@@H](C6)NCCc7nn[nH]n7;15;;;;Train;;;
CHEMBL406366;OC(=O)CSCC(=O)Nc1nc(cs1)c2ccccc2;17,78;;;;Train;;;
CHEMBL1644331;S(c1ccccc1)c2ccc3ccccc3n2;61;;;;Train;;;
CHEMBL578288;N\C(=N/C#N)\c1sc(Nc2ccccc2)nc1N;3;;;;Train;;;
CHEMBL1743245;Cc1ccccc1N=Nc2ccc(NC(=O)c3ccnn3C)c(C)c2;4;;;;Test;;;
CHEMBL257178;Fc1ccc(cc1)c2[nH]c3ccc(cc3c2CCCC(=O)NS(=O)(=O)C(F)(F)F)C#N;40,4;;;;Train;;;
CHEMBL408;Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O;48,98;;;;Train;;;
CHEMBL203567;Nc1c(cnn1c2ccc(F)cc2)C(=O)c3cccc(OC[C@@H](O)CO)c3;3;;;;Ext;;;
CHEMBL206200;COCCNc1nc(N)c2nc(O)n(Cc3ccccc3)c2n1;5,5;;;;Train;;;
CHEMBL2031466;CC(C)NC(=O)c1ccc(C)c(c1)N2C=Nc3ccc(cc3C2=O)N4CCN(C)CC4;3;;;;Test;;;
CHEMBL196707;Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c3ccc(cc3)S(=O)(=O)C;5;;;;Test;;;
CHEMBL2046990;Nc1ccc(cc1)c2ccccc2Cl;39,81;;;;Train;;;
CHEMBL244521;CC(C)N1CCC[C@H](CN2C(=O)c3cc(ccc3N=C2C(C)C)c4ccc(F)cc4)C1;12,88;;;;Test;;;
CHEMBL2171215;Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)Cc4ccccc4)cc1Cl;3;;;;Train;;;
CHEMBL1766779;CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3ccccc3;4,17;;;;Train;;;
CHEMBL2207672;Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3cnc(O)c4cc(ccc34)S(=O)(=O)C)CC2)c1Cl;13;;;;Test;;;
CHEMBL382435;CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(Cl)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C;6,5;;;;Train;;;
CHEMBL298019;CCOC(=O)c1ccc(OCCC2CCN(CC2)c3ccc(C)nn3)cc1;150;;;;Test;;;
CHEMBL452021;CN(C)CCOc1ccc(cc1)c2cc(C(=O)N)c(NC(=O)N)s2;9;;;;Test;;;
CHEMBL2347404;Fc1cccc(COc2ccc(Nc3ncnc4ccc(cc34)c5cccc(c5)N6CCOCC6)cc2Cl)c1;63,065;;;;Train;;;
CHEMBL2207665;CN1C=C(C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C(=CC1=O)C(F)(F)F;4;;;;Train;;;
CHEMBL365123;CC1=CN(Cc2ccccc2)C(=O)NC1=O;20;;;;Ext;;;
CHEMBL2207285;O[C@H](CNC(=O)c1cnc(O)c2cc(ccc12)S(=O)(=O)NC3CC3)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5;21;;;;Train;;;
CHEMBL271703;C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(N)cnc13;12;;;;Ext;;;
CHEMBL2031227;CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5ccc(cc5)C#N)ccc4C;7;;;;Train;;;
CHEMBL280148;CN(C)CCNc1cc(nc2ccccc12)c3ccc(cc3)N4CCN(C)CC4;11;;;;Train;;;
CHEMBL2171044;Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4cccc(c4)C#N)cc1Cl;3;;;;Train;;;
CHEMBL205807;CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3c[nH]c4ccccc34)c2C(=O)N5CC[C@@H](O)C5;107;;;;Ext;;;
CHEMBL108246;Cc1ccccc1CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3nc(O)sc23;150;;;;Test;;;
CHEMBL380732;CC[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(N)sc13;62;;;;Train;;;
CHEMBL1523918;Clc1ccc(cc1)S(=O)(=O)Nc2nnc(s2)c3ccccc3;16;;;;Train;;;
CHEMBL1916286;C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)C2CCCCC2)c3ccccc3)C(C)(C)C;14;;;;Train;;;
CHEMBL315970;CC(C)CN1C(=O)N(C)C(=O)c2cn(Cc3cccc4ccccc34)cc12;14;;;;Train;;;
CHEMBL1916267;CCC(CC)NC(=O)c1cnn(Cc2ccccc2)c1NS(=O)(=O)c3ccc(C)cc3;59;;;;Test;;;
CHEMBL1367530;Cc1ccc(cc1)c2oc(SCC(=O)N3CCN(CC3)c4ccccc4)nn2;150;;;;Train;;;
CHEMBL512504;Oc1ccccc1c2ccc(cc2)c3csc4nc(O)c(C#N)c(O)c34;3;;;;Train;;;
CHEMBL1922094;C[C@H](O)C(=O)N1CCN(Cc2sc3c(nc(nc3c2C)c4cnc(N)nc4)N5CCOCC5)CC1;10,96;;;;Train;;;
CHEMBL2098096;Cc1cc(OCC(=O)NCc2ccccc2)c3cc(Br)ccc3n1;125,89;;;;Test;;;
CHEMBL2103840;CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N4CCCC[C@H]4CCO;150;;;;Train;;;
CHEMBL560423;OC1(CNC(=O)c2cc(ccc2Cl)N3N=CC(=O)NC3=O)CCCCCC1;3;;;;Train;;;
CHEMBL1835918;Cc1onc(n1)c2ccc(OCC3CN(C3)c4ccc(C)nn4)cc2;26,33;;;;Train;;;
CHEMBL1766793;CC(C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3ccccc3;10;;;;Test;;;
CHEMBL686;Cc1cccc(Nc2ccccc2C(=O)O)c1C;9;;;;Train;;;
CHEMBL2171041;CN(C)c1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4;33;;;;Train;;;
CHEMBL550438;CC1CCC(CC(=O)Nc2cccc3ncccc23)CC1;38;;;;Train;;;
CHEMBL2364624;OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc(Nc4ccc(nc4)C(F)(F)F)cn3;3;;;;Train;;;
CHEMBL12610;CN(C)CCCOc1nn(Cc2ccccc2)c3ccccc13;17,78;;;;Train;;;
CHEMBL22;COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC;3;;;;Train;;;
CHEMBL44793;OC(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1\C=C\C(=O)Nc3ccccc3;3;;;;Train;;;
CHEMBL1596896;Cc1cccc(NC(=O)Nc2cccc3ccccc23)c1;70,79;;;;Train;;;
CHEMBL185658;CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(cc4)S(=O)(=O)C)c23)cc1;75;;;;Train;;;
CHEMBL1082811;Oc1nc(SCc2ccccc2)nc(c3ccccc3)c1C#N;6;;;;Train;;;
CHEMBL243978;C1Oc2ccc(Oc3ccnc(Oc4ccc(cc4)n5ccnc5)n3)cc2O1;13;;;;Train;;;
CHEMBL2216830;CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl;87,1;;;;Test;;;
CHEMBL2171169;CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34;112,2;;;;Train;;;
CHEMBL426823;CCOc1oc2cc(OCCC3CCN(CC3)c4ccc(C)nn4)ccc2n1;6;;;;Train;;;
CHEMBL1536083;CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c2ccc(Cl)cc2;94;;;;Train;;;
CHEMBL376632;Cc1cc(nc(n1)n2ccnc2)N3CCC[C@@H]3C(=O)NCCc4ccc5OCOc5c4;150;;;;Ext;;;
CHEMBL407960;COc1ccc(OC)c(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)c1;74;;;;Test;;;
CHEMBL1896341;Cc1ccc(CNC(=O)C2CCCN2S(=O)(=O)c3ccc(F)cc3)cc1;150;;;;Ext;;;
CHEMBL1944691;O[C@@H](CNCCc1cccc(CNCCc2ccccc2F)c1)c3ccc(O)c4nc(O)sc34;17;;;;Ext;;;
CHEMBL60066;[O-][n+]1cc(ccc1Cl)C(=O)Nc2ccc(F)cc2;3;;;;Train;;;
CHEMBL1645494;CNC(=O)Cc1ccc2c(O)cc(nc2c1)c3cccnc3;3;;;;Train;;;
CHEMBL383696;CC(C)CN1C(=O)N(C)C(=O)c2c(SC3CCCC3)c(Cc4ccccc4C(F)(F)F)sc12;7;;;;Test;;;
CHEMBL1945040;COc1ccccc1CNCc2ccc(CCNC[C@H](O)c3ccc(O)c4nc(O)sc34)cc2;22;;;;Train;;;
CHEMBL1800472;CN(CCNC[C@H](O)c1ccc(O)c2nc(O)sc12)C(=O)CCOCCc3ccccc3;35;;;;Train;;;
CHEMBL555033;OCCCNc1ccc2c(NC(=O)CC3CCCCC3)c(Cl)ccc2n1;25;;;;Test;;;
CHEMBL1173055;CNCc1ccc(cc1)c2[nH]c3cc(F)cc4C(=O)NCCc2c34;5,5;;;;Train;;;
CHEMBL1945290;CCOc1ccccc1CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4nc(O)sc34)c2;44;;;;Test;;;
CHEMBL2312113;COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c3ccc4OCOc4c3)c(OC)c1;150;;;;Train;;;
CHEMBL2207284;CNS(=O)(=O)c1ccc2c(cnc(O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4;14;;;;Train;;;
CHEMBL213100;COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(cc4)N5CCN(C)CC5)n3)c(OC)c1;27,54;;;;Train;;;
CHEMBL191553;CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1;12;;;;Train;;;
CHEMBL2207280;O[C@H](CNC(=O)c1cnc(O)c2ccc(F)cc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4;8;;;;Train;;;
CHEMBL72;CNCCCN1c2ccccc2CCc3ccccc13;10,47;;;;Test;;;
CHEMBL2171038;Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4;3;;;;Train;;;
CHEMBL652;FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2;3;;;;Train;;;
CHEMBL1789224;CNCC[C@@H](Oc1cc(ccc1C#N)C(F)(F)F)c2ccccc2;3;;;;Train;;;
CHEMBL1916085;CN(C1CCCCC1)C(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4;94;;;;Ext;;;
CHEMBL2151326;COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)[nH]n1;7,24;;;;Test;;;
CHEMBL370826;CCN(C1CCN(CCC(c2ccc(NC(=O)C)cc2)c3cccc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C;23,5;;;;Train;;;
CHEMBL945;NC(=N)NC(=O)c1nc(Cl)c(N)nc1N;3;;;;Train;;;
CHEMBL1092926;Fc1cc(cc(F)c1CN2CCOCC2)c3cccc4ncc(nc34)c5cnn(c5)C6CCNCC6;3;;;;Train;;;
CHEMBL2325719;Cc1ccc2[nH]ccc2c1c3nc(cc(n3)C4(CC4)S(=O)(=O)C)N5CCOCC5;5,75;;;;Train;;;
CHEMBL189475;C[C@@H](C(=O)NS(=O)(=O)C)c1ccc(OS(=O)(=O)C(F)(F)F)cc1;3;;;;Test;;;
CHEMBL129982;Nc1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3;19;;;;Test;;;
CHEMBL1299863;CCc1c(C)nc(SCC(=O)Nc2nc(cs2)c3ccc(OC)cc3)nc1O;66,07;;;;Test;;;
CHEMBL445;CNCCC=C1c2ccccc2CCc3ccccc13;3;;;;Train;;;
CHEMBL2158819;OC(=O)C(N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4;3;;;;Train;;;
CHEMBL1090090;NC(=O)N(c1ccc(C(=O)N)c(n1)c2ccc(F)cc2F)c3c(F)cccc3F;5,13;;;;Train;;;
CHEMBL1458025;Cc1sc2ncnc(SCC(=O)N3CCN(CC3)C(=O)c4occc4)c2c1C;77,62;;;;Train;;;
CHEMBL387125;CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc3N(CC(C)C)C(=O)N(C)C(=O)c13;41;;;;Train;;;
CHEMBL108922;CCO\N=C\c1ccc(OCCC2CCN(CC2)c3ccc(C)nn3)cc1;15;;;;Ext;;;
CHEMBL2177757;O=C(Cc1ccccc1)Nc2nnc(CCSCCc3nnc(NC(=O)Cc4ccccc4)s3)s2;20,42;;;;Train;;;
CHEMBL1868114;COCCNc1nc(NCc2ccccc2F)c3sccc3n1;150;;;;Train;;;
CHEMBL1939560;C[C@@H](N(CC1CCS(=O)(=O)CC1)C(=O)Cc2ccc(c(F)c2)C(F)(F)F)C3=Nc4ncccc4C(=O)N3c5ccc(Cl)cc5;5,25;;;;Train;;;
CHEMBL103482;CCOC(=O)c1cnc2c(N)cccc2c1O;20,42;;;;Train;;;
CHEMBL2058529;OC(=O)CCc1ccc(OCc2cc(Cl)ccc2c3ccccc3)cc1;3;;;;Ext;;;
CHEMBL2171050;Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(F)c(F)c4;3;;;;Train;;;
CHEMBL2021706;CCC[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)CCCc2ccc(OC)cc2;87,1;;;;Train;;;
CHEMBL2011440;COc1nc(Cl)c(Cl)nc1NS(=O)(=O)c2ccc(Cl)s2;10;;;;Train;;;
CHEMBL505;CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2;3;;;;Test;;;
CHEMBL1532611;Nc1ccc(OCCc2ccccc2)cc1;57,54;;;;Ext;;;
CHEMBL1934414;C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C;21;;;;Train;;;
CHEMBL373351;CCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O;3;;;;Train;;;
CHEMBL392559;Clc1ccc(CN2C[C@@H]3C[C@H]2CN3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5;13;;;;Test;;;
CHEMBL198114;CCN(C1CCN(CCC(c2ccccc2)c3ccc(NS(=O)(=O)C)cc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C;3;;;;Train;;;
CHEMBL2169919;CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3ccc4c(N)ncnc34;150;;;;Test;;;
CHEMBL1214;CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O;6,92;;;;Train;;;
CHEMBL256668;C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(O)cnc13;6,18;;;;Train;;;
CHEMBL216981;CC[C@@H](\N=C\1/C(=C(O)C1=Nc2cccc(C(=O)N(C)C)c2O)O)c3oc(C)cc3;3;;;;Train;;;
CHEMBL1916276;CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4;59;;;;Train;;;
CHEMBL2030560;Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3;3;;;;Train;;;
CHEMBL393384;Clc1ccc(OC2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4;28;;;;Train;;;
CHEMBL563784;Clc1cnc(cc1C(=O)NCC23CC4CC(CC(C4)C2)C3)N5CCNCC5;10;;;;Train;;;
CHEMBL1917422;Cc1c(Sc2ccc(Cl)cc2)c3cc(Cl)ccc3n1Cc4nn[nH]n4;11;;;;Train;;;
CHEMBL1084863;NS(=O)(=O)c1ccc(Nc2nccc(n2)c3ccccc3)cc1;3;;;;Train;;;
CHEMBL550175;C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2Cl)C(=O)N)c3ccc(F)cc3C(F)(F)F;6,31;;;;Train;;;
CHEMBL2147032;O=C1COC2(CCN(CC2)S(=O)(=O)c3ccc(cc3)c4ccc5cccnc5c4)CN1C6CC6;56,23;;;;Test;;;
CHEMBL1807871;O[C@@H](CNCCCSCCNCCc1cccc(Cl)c1Cl)c2ccc(O)c3nc(O)sc23;35;;;;Train;;;
CHEMBL2171039;Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4Cl)cc1Cl;3;;;;Train;;;
CHEMBL1778649;CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@@H](C)C(=O)O)C(F)(F)F;3;;;;Train;;;
